```csv
"발신부서","제목","붙임파일명","생산문서번호","접수일","마감일"
"경상북도교육청","[안내/신청] 2025년 광주광역시 제60회 전국기능경기대회 공구 운송비 지원 안내","2025년 광주광역시 제60회 전국기능경기대회 공구 운송비 신청(서식) 1부.","창의인재과-21843","2025. 8. 13.","2025. 8. 29.(금)까지"
"경북지사","2025 광주광역시 제60회 전국기능경기대회 공구 반출입 일정 알림","2025 광주광역시 제60회 전국기능경기대회 공구 반·출입 일정 1부(PW: 2025@).","경북지사(직업능력개발부)-3248","2025. 8. 19.","N/A"
"경상북도교육청","[안내] 2025학년도 한국기술교육대학교 하계 현장기술연수 이수 결과 안내","연수결과 이수자 명단 1부(PW: 250821).","창의인재과-23141","2025. 8. 27.","N/A"
"경상북도교육청","[지출/안내] 2025년 전국기능경기대회 전공심화동아리 대회 참가 비용 교부","1. 전출금 및 보조금 지출품의서 1부.; 2. 2025년 전국기능경기대회 전공심화동아리 대회 참가비용 교부 계획 1부.; 3. 집행결과 정산보고 1부.; 4. 집행결과 정산보고 예산집행내역 1부.; 5. [참고용] 정산보고 공문 제출 양식 1부.","창의인재과-23849","2025. 9. 4.","2025. 12. 31.(금)까지"
"경북지사","제60회 전국기능경기대회 경상북도 대표선수단 참가 세부 시행계획 알림","1. 제60회 전국기능경기대회 경상북도 대표선수단 참가 세부 시행계획 _PW:2025@ 1부.; 2. 제60회 전국기능경기대회 직종별 경기일정 1부.","경북지사(직업능력개발부)-3683","2025. 9. 16.","N/A"
"경상북도교육청연수원","[안내]중등SW·AI교육관리자역량강화직무연수2기 신청 안내","1. 중등SW·AI교육관리자역량강화직무연수2기 안내 1부.; 2. 연수 신청 서식(참고용) 1부.","중등연수부-2960","2025. 9. 18.","2025. 9. 24.(수) 17:00까지"
"경북지사","제60회 전국기능경기대회 경기장별 교통 및 주차 협조사항 안내","제60회 전국기능경기대회 경기장별 교통 및 주차 협조사항 1부.","경북지사(직업능력개발부)-3711","2025. 9. 18.","N/A"
"경상북도교육청","[제출] 2025년 사제동행 디지털 챌린지 운영 예산 교부 및 재배정 안내","1. 2025년 사제동행 디지털 챌린지 예산 교부 및 재배정 내역 1부.; 2. 2025년 사제동행 디지털 챌린지 운영 방법 및 제출 서류(서식1~4) 1부.; 3. 2025년 사제동행 디지털 챌린지 예산집행상세내역(서식5) 1부.","창의인재과-28503","2025. 11. 6.","2026. 2. 6.(금)까지"
"경상북도교육청","[지출/안내] 2025년 전공심화동아리 후반기 운영비 교부","1. 전출금 및 보조금 지출품의서 1부.; 2. 2025년 전공심화동아리 후반기 운영비 교부 계획 1부.; 3. 집행결과 정산보고 1부.; 4. 집행결과 정산보고 예산집행내역 1부.; 5. [참고용] 정산보고 공문 제출 양식 1부.","창의인재과-29247","2025. 11. 11.","2026. 2. 20.(금)까지"
```
